그룹,진료년도,성별,연령,진료인원
그룹2,2022,남자,80~84세,142
그룹2,2022,남자,85세이상,41
그룹2,2022,여자,0~4세,46
그룹2,2022,여자,5-9세,6
그룹2,2022,여자,10-14세,9
그룹2,2022,여자,15-19세,9
그룹2,2022,여자,20-24세,20
그룹2,2022,여자,25-29세,36
그룹2,2022,여자,30-34세,33
그룹2,2022,여자,35-39세,45
그룹2,2022,여자,40-44세,47
그룹2,2022,여자,45-49세,56
그룹2,2022,여자,50-54세,71
그룹2,2022,여자,55-59세,97
그룹2,2022,여자,60-64세,147
그룹2,2022,여자,65-69세,141
그룹2,2022,여자,70-74세,151
그룹2,2022,여자,75-79세,128
그룹2,2022,여자,80~84세,102
그룹2,2022,여자,85세이상,40
그룹2,2023,남자,0~4세,38
그룹2,2023,남자,5-9세,10
그룹2,2023,남자,10-14세,14
그룹2,2023,남자,15-19세,19
그룹2,2023,남자,20-24세,15
그룹2,2023,남자,25-29세,34
그룹2,2023,남자,30-34세,26
그룹2,2023,남자,35-39세,50
그룹2,2023,남자,40-44세,88
그룹2,2023,남자,45-49세,137
그룹2,2023,남자,50-54세,207
그룹2,2023,남자,55-59세,304
그룹2,2023,남자,60-64세,439
그룹2,2023,남자,65-69세,427
그룹2,2023,남자,70-74세,328
그룹2,2023,남자,75-79세,226
그룹2,2023,남자,80~84세,123
그룹2,2023,남자,85세이상,36
그룹2,2023,여자,0~4세,48
그룹2,2023,여자,5-9세,10
그룹2,2023,여자,10-14세,8
그룹2,2023,여자,15-19세,15
그룹2,2023,여자,20-24세,14
그룹2,2023,여자,25-29세,14
그룹2,2023,여자,30-34세,26
그룹2,2023,여자,35-39세,36
그룹2,2023,여자,40-44세,40
그룹2,2023,여자,45-49세,60
그룹2,2023,여자,50-54세,73
그룹2,2023,여자,55-59세,80
그룹2,2023,여자,60-64세,139
그룹2,2023,여자,65-69세,139
그룹2,2023,여자,70-74세,130
그룹2,2023,여자,75-79세,115
그룹2,2023,여자,80~84세,107
그룹2,2023,여자,85세이상,47
그룹2,2024,남자,0~4세,59
그룹2,2024,남자,5-9세,12
그룹2,2024,남자,10-14세,10
그룹2,2024,남자,15-19세,20
그룹2,2024,남자,20-24세,17
그룹2,2024,남자,25-29세,22
그룹2,2024,남자,30-34세,38
그룹2,2024,남자,35-39세,52
그룹2,2024,남자,40-44세,79
그룹2,2024,남자,45-49세,110
그룹2,2024,남자,50-54세,168
그룹2,2024,남자,55-59세,263
그룹2,2024,남자,60-64세,337
그룹2,2024,남자,65-69세,362
그룹2,2024,남자,70-74세,267
그룹2,2024,남자,75-79세,200
그룹2,2024,남자,80~84세,106
그룹2,2024,남자,85세이상,40
그룹2,2024,여자,0~4세,41
그룹2,2024,여자,5-9세,11
그룹2,2024,여자,10-14세,8
그룹2,2024,여자,15-19세,17
그룹2,2024,여자,20-24세,19
그룹2,2024,여자,25-29세,21
그룹2,2024,여자,30-34세,23
그룹2,2024,여자,35-39세,41
그룹2,2024,여자,40-44세,47
그룹2,2024,여자,45-49세,42
그룹2,2024,여자,50-54세,77
그룹2,2024,여자,55-59세,98
그룹2,2024,여자,60-64세,112
그룹2,2024,여자,65-69세,124
그룹2,2024,여자,70-74세,130
그룹2,2024,여자,75-79세,111
그룹2,2024,여자,80~84세,90
그룹2,2024,여자,85세이상,40
그룹3,2020,남자,0~4세,13261
그룹3,2020,남자,5-9세,18677
그룹3,2020,남자,10-14세,13944
그룹3,2020,남자,15-19세,15591
그룹3,2020,남자,20-24세,21424
그룹3,2020,남자,25-29세,21449
그룹3,2020,남자,30-34세,20206
그룹3,2020,남자,35-39세,25592
그룹3,2020,남자,40-44세,29584
그룹3,2020,남자,45-49세,35966
그룹3,2020,남자,50-54세,43216
그룹3,2020,남자,55-59세,52846
그룹3,2020,남자,60-64세,60675
그룹3,2020,남자,65-69세,50381
그룹3,2020,남자,70-74세,41377
그룹3,2020,남자,75-79세,30200
그룹3,2020,남자,80~84세,16953
그룹3,2020,남자,85세이상,7024
그룹3,2020,여자,0~4세,8499
그룹3,2020,여자,5-9세,13455
그룹3,2020,여자,10-14세,8208
그룹3,2020,여자,15-19세,7661
그룹3,2020,여자,20-24세,14648
그룹3,2020,여자,25-29세,22571
그룹3,2020,여자,30-34세,31984
그룹3,2020,여자,35-39세,43365
그룹3,2020,여자,40-44세,47862
그룹3,2020,여자,45-49세,55464
그룹3,2020,여자,50-54세,59163
그룹3,2020,여자,55-59세,60065
그룹3,2020,여자,60-64세,63944
그룹3,2020,여자,65-69세,51014
그룹3,2020,여자,70-74세,41741
그룹3,2020,여자,75-79세,34265
그룹3,2020,여자,80~84세,21905
그룹3,2020,여자,85세이상,12073
그룹3,2021,남자,0~4세,13012
그룹3,2021,남자,5-9세,18522
그룹3,2021,남자,10-14세,16057
그룹3,2021,남자,15-19세,16152
그룹3,2021,남자,20-24세,21232
그룹3,2021,남자,25-29세,22724
그룹3,2021,남자,30-34세,21944
그룹3,2021,남자,35-39세,25876
그룹3,2021,남자,40-44세,32160
그룹3,2021,남자,45-49세,36721
그룹3,2021,남자,50-54세,45577
그룹3,2021,남자,55-59세,53121
그룹3,2021,남자,60-64세,65909
그룹3,2021,남자,65-69세,57638
그룹3,2021,남자,70-74세,45150
그룹3,2021,남자,75-79세,32772
그룹3,2021,남자,80~84세,19457
그룹3,2021,남자,85세이상,8396
그룹3,2021,여자,0~4세,8221
그룹3,2021,여자,5-9세,13773
그룹3,2021,여자,10-14세,9398
그룹3,2021,여자,15-19세,8303
그룹3,2021,여자,20-24세,16439
그룹3,2021,여자,25-29세,27093
그룹3,2021,여자,30-34세,40411
그룹3,2021,여자,35-39세,49735
그룹3,2021,여자,40-44세,57985
그룹3,2021,여자,45-49세,61348
그룹3,2021,여자,50-54세,65982
그룹3,2021,여자,55-59세,61174
그룹3,2021,여자,60-64세,70926
그룹3,2021,여자,65-69세,59950
그룹3,2021,여자,70-74세,46859
그룹3,2021,여자,75-79세,36670
그룹3,2021,여자,80~84세,25131
그룹3,2021,여자,85세이상,14163
그룹3,2022,남자,0~4세,12534
그룹3,2022,남자,5-9세,18634
그룹3,2022,남자,10-14세,18459
그룹3,2022,남자,15-19세,19157
그룹3,2022,남자,20-24세,21395
그룹3,2022,남자,25-29세,24327
그룹3,2022,남자,30-34세,24927
그룹3,2022,남자,35-39세,26146
그룹3,2022,남자,40-44세,34327
그룹3,2022,남자,45-49세,37059
그룹3,2022,남자,50-54세,47342
그룹3,2022,남자,55-59세,52635
그룹3,2022,남자,60-64세,67591
그룹3,2022,남자,65-69세,61499
그룹3,2022,남자,70-74세,47753
그룹3,2022,남자,75-79세,35103
그룹3,2022,남자,80~84세,22215
그룹3,2022,남자,85세이상,9750
그룹3,2022,여자,0~4세,7763
그룹3,2022,여자,5-9세,13569
그룹3,2022,여자,10-14세,11058
그룹3,2022,여자,15-19세,10075
그룹3,2022,여자,20-24세,17878
그룹3,2022,여자,25-29세,31886
그룹3,2022,여자,30-34세,51170
그룹3,2022,여자,35-39세,57706
그룹3,2022,여자,40-44세,69436
그룹3,2022,여자,45-49세,71391
그룹3,2022,여자,50-54세,72184
그룹3,2022,여자,55-59세,62160
그룹3,2022,여자,60-64세,73046
그룹3,2022,여자,65-69세,62643
그룹3,2022,여자,70-74세,49589
그룹3,2022,여자,75-79세,37772
그룹3,2022,여자,80~84세,27995
그룹3,2022,여자,85세이상,15736
그룹3,2023,남자,0~4세,13036
그룹3,2023,남자,5-9세,20442
그룹3,2023,남자,10-14세,19646
그룹3,2023,남자,15-19세,19999
그룹3,2023,남자,20-24세,21025
그룹3,2023,남자,25-29세,24341
그룹3,2023,남자,30-34세,26796
그룹3,2023,남자,35-39세,26199
그룹3,2023,남자,40-44세,35547
그룹3,2023,남자,45-49세,36793
그룹3,2023,남자,50-54세,47646
그룹3,2023,남자,55-59세,54581
그룹3,2023,남자,60-64세,69076
그룹3,2023,남자,65-69세,67786
그룹3,2023,남자,70-74세,50300
그룹3,2023,남자,75-79세,38554
그룹3,2023,남자,80~84세,23719
그룹3,2023,남자,85세이상,10764
그룹3,2023,여자,0~4세,8005
그룹3,2023,여자,5-9세,14503
그룹3,2023,여자,10-14세,11042
그룹3,2023,여자,15-19세,10044
그룹3,2023,여자,20-24세,17115
그룹3,2023,여자,25-29세,30983
그룹3,2023,여자,30-34세,51852
그룹3,2023,여자,35-39세,57069
그룹3,2023,여자,40-44세,72883
그룹3,2023,여자,45-49세,71221
그룹3,2023,여자,50-54세,73388
그룹3,2023,여자,55-59세,65676
그룹3,2023,여자,60-64세,74342
그룹3,2023,여자,65-69세,68840
그룹3,2023,여자,70-74세,51459
그룹3,2023,여자,75-79세,40864
그룹3,2023,여자,80~84세,29518
그룹3,2023,여자,85세이상,17496
그룹3,2024,남자,0~4세,12008
그룹3,2024,남자,5-9세,21568
그룹3,2024,남자,10-14세,20207
그룹3,2024,남자,15-19세,18322
그룹3,2024,남자,20-24세,17194
그룹3,2024,남자,25-29세,20774
그룹3,2024,남자,30-34세,24830
그룹3,2024,남자,35-39세,24389
그룹3,2024,남자,40-44세,31692
그룹3,2024,남자,45-49세,33580
그룹3,2024,남자,50-54세,43360
그룹3,2024,남자,55-59세,50206
그룹3,2024,남자,60-64세,62552
그룹3,2024,남자,65-69세,65108
그룹3,2024,남자,70-74세,48253
그룹3,2024,남자,75-79세,36597
그룹3,2024,남자,80~84세,21794
그룹3,2024,남자,85세이상,10474
그룹3,2024,여자,0~4세,7120
그룹3,2024,여자,5-9세,14304
그룹3,2024,여자,10-14세,11009
그룹3,2024,여자,15-19세,9128
그룹3,2024,여자,20-24세,14733
그룹3,2024,여자,25-29세,28872
그룹3,2024,여자,30-34세,53532
그룹3,2024,여자,35-39세,58828
그룹3,2024,여자,40-44세,69213
그룹3,2024,여자,45-49세,67353
그룹3,2024,여자,50-54세,67998
그룹3,2024,여자,55-59세,61414
그룹3,2024,여자,60-64세,66745
그룹3,2024,여자,65-69세,65688
그룹3,2024,여자,70-74세,48852
그룹3,2024,여자,75-79세,38778
그룹3,2024,여자,80~84세,26805
그룹3,2024,여자,85세이상,17026
그룹4,2020,남자,0~4세,14557
그룹4,2020,남자,5-9세,469
그룹4,2020,남자,10-14세,467
그룹4,2020,남자,15-19세,896
그룹4,2020,남자,20-24세,1240
그룹4,2020,남자,25-29세,1635
그룹4,2020,남자,30-34세,1822
그룹4,2020,남자,35-39세,3043
그룹4,2020,남자,40-44세,4657
그룹4,2020,남자,45-49세,7818
그룹4,2020,남자,50-54세,11701
그룹4,2020,남자,55-59세,15971
그룹4,2020,남자,60-64세,20171
그룹4,2020,남자,65-69세,19421
그룹4,2020,남자,70-74세,19853
그룹4,2020,남자,75-79세,20594
그룹4,2020,남자,80~84세,17668
그룹4,2020,남자,85세이상,13256
그룹4,2020,여자,0~4세,11591
그룹4,2020,여자,5-9세,401
그룹4,2020,여자,10-14세,404
그룹4,2020,여자,15-19세,706
그룹4,2020,여자,20-24세,1025
그룹4,2020,여자,25-29세,1218
그룹4,2020,여자,30-34세,1396
그룹4,2020,여자,35-39세,2090
그룹4,2020,여자,40-44세,2768
그룹4,2020,여자,45-49세,4216
그룹4,2020,여자,50-54세,5587
그룹4,2020,여자,55-59세,7136
그룹4,2020,여자,60-64세,9687
그룹4,2020,여자,65-69세,10445
그룹4,2020,여자,70-74세,12321
그룹4,2020,여자,75-79세,16355
그룹4,2020,여자,80~84세,18659
그룹4,2020,여자,85세이상,21615
그룹4,2021,남자,0~4세,15233
그룹4,2021,남자,5-9세,446
그룹4,2021,남자,10-14세,517
그룹4,2021,남자,15-19세,815
그룹4,2021,남자,20-24세,1179
그룹4,2021,남자,25-29세,1625
그룹4,2021,남자,30-34세,1907
그룹4,2021,남자,35-39세,2864
그룹4,2021,남자,40-44세,4676
